tube_assembly_id,supplier,cost
TA-06161,S-0026,1000.0
TA-19080,S-0026,930.68
TA-04958,S-0026,848.1
TA-01584,S-0026,772.81
TA-00711,S-0026,687.16
TA-07301,S-0026,627.7
TA-01117,S-0026,567.87
TA-14373,S-0026,515.01
TA-02992,S-0026,413.29
TA-17275,S-0026,404.08
TA-17274,S-0026,404.08
TA-16588,S-0066,387.51
TA-14374,S-0026,381.89
TA-18536,S-0026,363.38
TA-17262,S-0026,355.86
TA-01619,S-0066,352.36
TA-14192,S-0066,348.17
TA-04614,S-0066,344.85
TA-17279,S-0026,334.56
TA-08345,S-0066,332.79
TA-17263,S-0026,324.08
TA-13600,S-0026,310.97
TA-09923,S-0026,306.99
TA-18711,S-0026,304.06
TA-17635,S-0026,300.15
TA-16463,S-0026,300.03
TA-18537,S-0026,299.86
TA-03470,S-0097,290.1
TA-05475,S-0066,286.69
TA-09924,S-0026,282.38
TA-16589,S-0066,281.5
TA-03665,S-0066,274.94
TA-10300,S-0026,274.55
TA-18779,S-0066,270.35
TA-19917,S-0026,268.14
TA-03829,S-0066,262.65
TA-11524,S-0066,261.43
TA-03575,S-0026,259.54
TA-00608,S-0064,259.21
TA-00970,S-0064,254.0
TA-13176,S-0026,247.26
TA-10360,S-0026,242.58
TA-16108,S-0106,239.68
TA-07577,S-0066,235.48
TA-15642,S-0026,233.95
TA-13345,S-0066,230.99
TA-00046,S-0026,228.15
TA-07264,S-0026,223.88
TA-01935,S-0026,222.53
TA-12470,S-0026,221.86
TA-00540,S-0064,220.89
TA-04971,S-0066,220.04
TA-17269,S-0066,213.69
TA-16670,S-0066,213.47
TA-11255,S-0026,208.03
TA-01944,S-0066,206.11
TA-00530,S-0066,205.86
TA-02199,S-0026,203.73
TA-17267,S-0066,201.81
TA-05241,S-0026,201.23
TA-20459,S-0066,198.89
TA-13336,S-0064,198.8
TA-17063,S-0026,197.98
TA-09688,S-0066,195.3
TA-03895,S-0066,194.17
TA-02617,S-0066,191.96
TA-12315,S-0026,191.61
TA-19380,S-0064,190.32
TA-06450,S-0074,188.65
TA-01940,S-0066,188.13
TA-11453,S-0066,187.82
TA-01229,S-0066,184.89
TA-16724,S-0026,183.97
TA-13753,S-0064,183.82
TA-13347,S-0066,181.05
TA-01949,S-0066,180.0
TA-11909,S-0058,178.95
TA-10467,S-0066,178.15
TA-01856,S-0066,177.6
TA-14189,S-0066,177.45
TA-02991,S-0026,177.2
TA-02994,S-0026,177.2
TA-16868,S-0066,177.07
TA-09687,S-0066,176.91
TA-02871,S-0026,173.88
TA-00670,S-0066,173.03
TA-11452,S-0066,172.8
TA-11257,S-0026,172.38
TA-08186,S-0026,171.51
TA-14600,S-0066,170.2
TA-02996,S-0066,169.46
TA-00144,S-0066,167.89
TA-11604,S-0066,167.42
TA-16886,S-0066,167.27
TA-03346,S-0066,164.84
TA-03865,S-0066,163.25
TA-11450,S-0066,163.11
TA-02002,S-0066,162.97
TA-17268,S-0066,162.76
TA-18714,S-0066,162.73
TA-15756,S-0026,161.73
TA-02130,S-0026,160.14
TA-17062,S-0026,159.54
TA-02035,S-0066,155.79
TA-09697,S-0066,153.74
TA-19405,S-0066,152.29
TA-20237,S-0066,152.07
TA-07244,S-0066,151.2
TA-16441,S-0066,151.06
TA-02286,S-0064,147.36
TA-09696,S-0066,141.03
TA-16663,S-0066,140.94
TA-02103,S-0066,140.2
TA-14003,S-0026,139.38
TA-17850,S-0026,139.09
TA-12162,S-0066,139.08
TA-16689,S-0066,138.53
TA-05307,S-0066,138.4
TA-11451,S-0066,138.02
TA-19365,S-0066,137.73
TA-01387,S-0081,137.09
TA-21057,S-0064,136.66
TA-17056,S-0064,136.46
TA-13121,S-0026,136.36
TA-18578,S-0026,136.26
TA-05015,S-0066,131.95
TA-16763,S-0026,130.72
TA-07246,S-0066,130.5
TA-15297,S-0066,130.37
TA-01037,S-0066,129.84
TA-03834,S-0066,129.59
TA-13868,S-0026,129.53
TA-13497,S-0066,127.85
TA-18177,S-0026,126.29
TA-13870,S-0026,126.24
TA-05000,S-0066,126.09
TA-13874,S-0026,125.06
TA-08283,S-0066,124.54
TA-01604,S-0066,123.87
TA-08086,S-0066,123.82
TA-11397,S-0066,123.62
TA-10776,S-0066,123.33
TA-15776,S-0066,122.71
TA-17920,S-0009,122.41
TA-13358,S-0026,121.94
TA-20363,S-0066,121.9
TA-15296,S-0066,121.71
TA-07472,S-0066,120.73
TA-18768,S-0026,120.31
TA-16713,S-0026,120.3
TA-16293,S-0066,119.41
TA-01317,S-0066,118.31
TA-06309,S-0066,118.29
TA-04621,S-0026,118.24
TA-18581,S-0104,116.76
TA-09694,S-0066,115.95
TA-19381,S-0066,115.43
TA-18951,S-0066,114.5
TA-17767,S-0066,114.3
TA-15121,S-0066,114.06
TA-18579,S-0026,114.03
TA-16436,S-0026,112.46
TA-17484,S-0026,112.37
TA-17214,S-0081,112.16
TA-18682,S-0066,111.93
TA-02556,S-0066,111.24
TA-16203,S-0066,110.7
TA-09949,S-0066,110.64
TA-14263,S-0066,109.83
TA-00936,S-0026,109.59
TA-13986,S-0066,109.57
TA-05005,S-0066,109.41
TA-10469,S-0066,109.16
TA-00935,S-0026,109.04
TA-00863,S-0064,107.6
TA-18752,S-0066,107.35
TA-18005,S-0026,106.95
TA-02353,S-0066,106.77
TA-10272,S-0066,106.51
TA-01891,S-0064,106.5
TA-18590,S-0026,106.43
TA-06597,S-0066,105.79
TA-13534,S-0026,105.45
TA-01319,S-0066,104.73
TA-14672,S-0066,104.65
TA-00393,S-0066,104.51
TA-11391,S-0066,104.21
TA-16686,S-0026,103.68
TA-01791,S-0026,103.03
TA-01793,S-0026,102.63
TA-17439,S-0026,102.6
TA-20463,S-0066,102.47
TA-19424,S-0066,102.2
TA-16435,S-0026,101.86
TA-02392,S-0066,101.54
TA-05511,S-0066,101.51
TA-12739,S-0066,100.99
TA-13310,S-0066,100.59
TA-13051,S-0007,99.6
TA-03203,S-0066,99.02
TA-03202,S-0066,98.94
TA-13951,S-0066,98.82
TA-15705,S-0066,98.81
TA-15651,S-0066,98.76
TA-18524,S-0026,98.7
TA-15650,S-0066,98.35
TA-20314,S-0066,97.23
TA-16866,S-0026,96.87
TA-13048,S-0066,96.83
TA-14536,S-0066,96.74
TA-15757,S-0026,96.71
TA-09903,S-0066,96.55
TA-16541,S-0003,96.27
TA-03838,S-0066,95.89
TA-10071,S-0066,95.84
TA-12424,S-0066,95.81
TA-18646,S-0066,95.39
TA-09812,S-0066,95.19
TA-09811,S-0066,95.19
TA-16586,S-0066,95.14
TA-00694,S-0026,94.9
TA-11932,S-0064,93.93
TA-04583,S-0066,93.92
TA-10388,S-0066,93.82
TA-01760,S-0066,93.74
TA-14190,S-0066,93.63
TA-00473,S-0026,93.37
TA-10565,S-0066,93.34
TA-12422,S-0026,93.07
TA-19278,S-0066,92.98
TA-01817,S-0064,92.77
TA-17633,S-0066,92.48
TA-12172,S-0066,91.2
TA-20547,S-0066,90.87
TA-03158,S-0066,90.87
TA-07058,S-0058,90.73
TA-13520,S-0066,90.68
TA-11206,S-0064,90.65
TA-20180,S-0026,90.61
TA-19351,S-0026,90.56
TA-16664,S-0066,90.26
TA-12347,S-0026,89.97
TA-11217,S-0066,89.45
TA-07130,S-0066,89.1
TA-04723,S-0066,88.67
TA-11931,S-0064,88.37
TA-15913,S-0026,87.87
TA-16464,S-0064,87.6
TA-11377,S-0066,86.34
TA-18191,S-0066,86.07
TA-17107,S-0026,85.86
TA-05443,S-0066,84.85
TA-07668,S-0026,84.84
TA-00716,S-0064,84.71
TA-15621,S-0066,84.11
TA-14448,S-0058,84.1
TA-00765,S-0064,83.18
TA-15710,S-0066,82.86
TA-16688,S-0092,82.72
TA-20634,S-0064,82.5
TA-17764,S-0026,82.25
TA-00986,S-0064,82.23
TA-12040,S-0066,80.96
TA-21030,S-0026,80.67
TA-01385,S-0062,80.62
TA-19636,S-0026,80.35
TA-01684,S-0026,79.79
TA-03677,S-0066,79.78
TA-07797,S-0066,79.69
TA-17298,S-0066,79.45
TA-11938,S-0066,78.55
TA-20275,S-0066,77.95
TA-18065,S-0026,77.62
TA-08473,S-0066,77.27
TA-17299,S-0066,77.1
TA-04639,S-0066,76.71
TA-15562,S-0066,76.62
TA-20039,S-0066,76.41
TA-15777,S-0066,76.32
TA-18232,S-0026,75.65
TA-01413,S-0066,75.51
TA-19513,S-0026,75.25
TA-16426,S-0066,75.05
TA-08175,S-0066,75.01
TA-00252,S-0064,74.91
TA-17396,S-0026,74.87
TA-18753,S-0026,74.86
TA-07607,S-0066,74.51
TA-05879,S-0013,74.42
TA-10009,S-0026,74.32
TA-18227,S-0026,74.25
TA-17301,S-0066,74.08
TA-18135,S-0066,73.53
TA-03714,S-0064,73.47
TA-15425,S-0066,73.43
TA-10409,S-0041,73.35
TA-17118,S-0009,73.31
TA-11261,S-0064,73.14
TA-05096,S-0062,72.95
TA-11356,S-0070,72.59
TA-12454,S-0066,72.26
TA-04299,S-0066,72.08
TA-12453,S-0066,72.03
TA-00601,S-0066,71.92
TA-20800,S-0066,71.78
TA-19382,S-0064,71.54
TA-21185,S-0066,71.21
TA-09612,S-0066,71.0
TA-17824,S-0026,70.99
TA-10205,S-0066,70.95
TA-10206,S-0066,70.95
TA-06380,S-0026,70.94
TA-13276,S-0066,70.88
TA-08273,S-0066,70.75
TA-05640,S-0066,70.65
TA-08274,S-0066,70.32
TA-16428,S-0066,70.26
TA-16279,S-0104,70.11
TA-16280,S-0104,69.85
TA-04108,S-0066,69.58
TA-02292,S-0026,69.53
TA-16425,S-0066,69.41
TA-13649,S-0066,69.06
TA-16443,S-0066,68.79
TA-17151,S-0066,68.77
TA-15811,S-0104,68.64
TA-17823,S-0026,68.61
TA-12471,S-0066,68.22
TA-01861,S-0062,68.09
TA-03229,S-0066,67.79
TA-02144,S-0026,67.62
TA-10754,S-0066,67.52
TA-15655,S-0066,67.43
TA-18775,S-0026,67.42
TA-11151,S-0007,67.33
TA-17078,S-0026,67.3
TA-06839,S-0066,67.25
TA-02264,S-0026,67.14
TA-06282,S-0066,66.88
TA-17119,S-0064,66.27
TA-17300,S-0066,66.16
TA-03583,S-0066,66.05
TA-04707,S-0026,66.0
TA-12423,S-0066,65.91
TA-01039,S-0064,65.77
TA-11968,S-0066,65.75
TA-02139,S-0066,65.74
TA-02535,S-0066,65.46
TA-12939,S-0066,65.33
TA-14809,S-0026,65.17
TA-11878,S-0066,65.1
TA-14335,S-0066,64.84
TA-02515,S-0066,64.8
TA-19621,S-0026,64.77
TA-12181,S-0026,64.76
TA-00715,S-0066,64.68
TA-12648,S-0104,64.52
TA-16789,S-0066,64.45
TA-03475,S-0064,64.39
TA-09342,S-0066,64.28
TA-16792,S-0066,64.26
TA-00455,S-0064,64.24
TA-02817,S-0066,64.01
TA-13287,S-0066,63.98
TA-00566,S-0026,63.88
TA-07124,S-0066,63.19
TA-17152,S-0066,63.12
TA-03198,S-0066,63.12
TA-08886,S-0026,62.79
TA-17793,S-0026,62.73
TA-02448,S-0062,62.6
TA-13050,S-0007,62.6
TA-14710,S-0007,62.6
TA-21027,S-0026,62.6
TA-10366,S-0026,62.57
TA-06502,S-0066,62.56
TA-18306,S-0066,61.95
TA-15290,S-0104,61.92
TA-13133,S-0026,61.85
TA-18071,S-0066,61.79
TA-14162,S-0066,61.56
TA-12647,S-0104,61.53
TA-13323,S-0104,61.45
TA-10242,S-0026,61.42
TA-01430,S-0066,61.25
TA-11365,S-0066,60.9
TA-03045,S-0026,60.87
TA-07179,S-0066,60.62
TA-05808,S-0066,60.57
TA-01899,S-0026,60.44
TA-03936,S-0066,60.37
TA-15652,S-0066,60.22
TA-18127,S-0066,60.18
TA-18131,S-0026,59.95
TA-00277,S-0066,59.87
TA-11288,S-0066,59.46
TA-13645,S-0064,59.37
TA-15808,S-0066,59.3
TA-00647,S-0064,59.22
TA-09128,S-0014,59.16
TA-11704,S-0066,59.09
TA-11289,S-0066,59.04
TA-04641,S-0066,59.02
TA-14329,S-0064,58.97
TA-20274,S-0066,58.95
TA-11428,S-0026,58.93
TA-03935,S-0066,58.93
TA-12711,S-0026,58.86
TA-03175,S-0066,58.67
TA-09738,S-0066,58.61
TA-10824,S-0066,58.47
TA-11307,S-0066,58.36
TA-10355,S-0066,57.95
TA-00105,S-0066,57.87
TA-13254,S-0066,57.77
TA-02266,S-0026,57.63
TA-11301,S-0105,57.56
TA-16979,S-0026,57.32
TA-17372,S-0066,57.3
TA-08884,S-0066,57.3
TA-10384,S-0066,57.29
TA-05587,S-0066,57.23
TA-16542,S-0066,57.13
TA-02145,S-0026,56.93
TA-09436,S-0066,56.85
TA-02135,S-0064,56.84
TA-02138,S-0064,56.78
TA-13490,S-0066,56.7
TA-15424,S-0066,56.65
TA-17297,S-0066,56.62
TA-05264,S-0026,56.62
TA-11300,S-0105,56.6
TA-20442,S-0066,56.58
TA-14500,S-0026,56.51
TA-17553,S-0066,56.47
TA-06519,S-0066,56.43
TA-08324,S-0066,56.08
TA-04492,S-0066,55.94
TA-04882,S-0066,55.78
TA-07209,S-0026,55.73
TA-00253,S-0066,55.6
TA-17822,S-0026,55.59
TA-03077,S-0066,55.55
TA-11963,S-0066,55.39
TA-19857,S-0062,55.16
TA-11232,S-0066,55.13
TA-17867,S-0026,55.09
TA-05515,S-0066,55.06
TA-10378,S-0062,54.98
TA-11555,S-0026,54.91
TA-04790,S-0013,54.86
TA-02750,S-0026,54.81
TA-04644,S-0026,54.71
TA-13826,S-0066,54.7
TA-11130,S-0062,54.68
TA-01069,S-0066,54.66
TA-02443,S-0064,54.66
TA-08107,S-0026,54.49
TA-07309,S-0066,54.47
TA-04261,S-0014,54.2
TA-16368,S-0026,54.11
TA-17940,S-0026,54.08
TA-02953,S-0062,53.99
TA-06932,S-0066,53.82
TA-11876,S-0066,53.74
TA-15288,S-0066,53.7
TA-21197,S-0026,53.62
TA-16334,S-0013,53.55
TA-08176,S-0066,53.5
TA-11123,S-0058,53.38
TA-15433,S-0066,53.21
TA-11363,S-0058,53.2
TA-09771,S-0013,53.04
TA-02137,S-0064,52.77
TA-11705,S-0066,52.72
TA-08911,S-0066,52.55
TA-02146,S-0066,52.54
TA-08933,S-0066,52.5
TA-07016,S-0066,52.4
TA-03052,S-0066,52.39
TA-13138,S-0026,52.29
TA-17376,S-0105,52.27
TA-04209,S-0066,52.24
TA-08629,S-0066,52.23
TA-17784,S-0066,52.16
TA-19421,S-0066,52.04
TA-02477,S-0066,51.84
TA-09737,S-0066,51.82
TA-12043,S-0058,51.7
TA-04184,S-0066,51.65
TA-00271,S-0066,51.35
TA-04354,S-0066,51.2
TA-17294,S-0066,51.18
TA-17296,S-0066,51.06
TA-14768,S-0066,51.05
TA-18764,S-0066,50.98
TA-18838,S-0066,50.95
TA-10740,S-0026,50.84
TA-08270,S-0026,50.83
TA-00522,S-0026,50.78
TA-07323,S-0066,50.77
TA-14671,S-0066,50.74
TA-13500,S-0066,50.71
TA-04979,S-0066,50.61
TA-02265,S-0026,50.52
TA-00469,S-0066,50.5
TA-16768,S-0026,50.47
TA-08271,S-0026,50.45
TA-09921,S-0026,50.43
TA-01739,S-0064,50.36
TA-18097,S-0066,50.34
TA-18456,S-0026,50.34
TA-18228,S-0026,50.31
TA-13825,S-0066,50.22
TA-15323,S-0074,50.2
TA-09651,S-0066,50.2
TA-05179,S-0066,50.2
TA-16772,S-0066,50.18
TA-11888,S-0066,50.14
TA-06096,S-0013,50.08
TA-17724,S-0105,50.01
TA-20273,S-0066,49.99
TA-18634,S-0066,49.98
TA-20272,S-0066,49.94
TA-18535,S-0026,49.91
TA-11218,S-0058,49.91
TA-18460,S-0026,49.83
TA-19862,S-0026,49.59
TA-09798,S-0066,49.59
TA-03777,S-0066,49.31
TA-10343,S-0058,49.16
TA-17302,S-0066,49.09
TA-03374,S-0066,49.09
TA-04368,S-0066,48.78
TA-04748,S-0066,48.78
TA-05101,S-0081,48.69
TA-05498,S-0064,48.56
TA-19576,S-0026,48.47
TA-18575,S-0026,48.4
TA-10470,S-0066,48.37
TA-15284,S-0066,48.35
TA-20053,S-0064,48.31
TA-10883,S-0064,48.27
TA-08733,S-0064,48.23
TA-08734,S-0064,48.23
TA-02136,S-0064,48.19
TA-10584,S-0058,48.08
TA-04213,S-0026,47.99
TA-04212,S-0026,47.99
