tube_assembly_id,quote_date,cost
TA-17262,2013-07-01,1779.32
TA-17279,2013-07-01,1672.82
TA-17263,2013-07-01,1620.41
TA-09923,2013-11-07,1534.95
TA-17635,2012-08-23,1500.75
TA-16463,2012-05-03,1500.14
TA-07264,2014-06-25,1119.39
TA-11909,2013-11-01,1073.68
TA-11255,2013-08-23,1040.14
TA-00608,2008-02-25,1036.83
TA-00970,2008-02-14,1016.01
TA-05000,2013-09-01,1008.75
TA-06161,2008-06-23,1000.0
TA-20459,2008-03-01,994.46
TA-19380,2007-09-19,951.62
TA-19080,2008-07-08,930.68
TA-01856,2009-11-17,887.99
TA-12470,2012-02-28,887.42
TA-03470,2010-11-10,870.3
TA-04958,2008-07-08,848.1
TA-01944,2011-08-01,824.43
TA-18714,2014-07-01,813.63
TA-15756,2012-05-07,808.65
TA-11524,2013-11-21,784.3
TA-01584,2008-07-07,772.81
TA-02617,2011-08-01,767.84
TA-19405,2008-07-01,761.46
TA-20237,2013-05-08,760.37
TA-02103,2007-10-15,701.02
TA-19365,2007-10-01,688.64
TA-00711,2008-07-08,687.16
TA-13121,2014-06-09,681.78
TA-02002,2011-11-11,651.87
TA-17269,2013-05-15,641.07
TA-16670,2013-06-20,640.42
TA-07301,2008-07-08,627.7
TA-00530,2014-06-09,617.59
TA-10776,2008-06-15,616.66
TA-20363,2008-05-28,609.5
TA-17267,2013-05-15,605.44
TA-07244,2011-06-29,604.82
TA-04971,2012-05-10,584.56
TA-19381,2008-04-01,577.17
TA-01117,2008-07-22,567.87
TA-16589,2014-02-04,562.99
TA-18682,2014-01-21,559.67
TA-01229,1997-11-21,554.67
TA-21057,2012-02-17,546.66
TA-19917,2010-03-22,536.28
TA-16868,2013-10-29,531.21
TA-07246,2011-06-29,522.0
TA-01037,2010-08-19,519.38
TA-03575,2012-03-23,519.07
TA-16686,2012-05-07,518.4
TA-14373,2010-02-19,515.01
TA-20463,2007-08-15,512.37
TA-19424,2008-09-15,510.99
TA-16435,2012-04-18,509.28
TA-00144,2009-03-03,503.67
TA-08283,2011-08-01,498.14
TA-17268,2013-05-15,488.27
TA-20314,2008-03-01,486.16
TA-15757,2012-05-07,483.54
TA-18646,2007-09-01,476.95
TA-04583,2011-08-01,469.59
TA-00473,2014-04-01,466.83
TA-17633,2008-04-01,462.41
TA-09697,2011-08-01,461.23
TA-20547,2007-10-15,454.35
TA-19382,2012-07-17,429.26
TA-05640,2011-08-01,423.91
TA-09696,2011-08-01,423.1
TA-00393,1995-04-12,418.04
TA-02992,1998-11-17,413.29
TA-18838,2013-12-02,407.6
TA-17275,2013-04-16,404.08
TA-17274,2013-04-16,404.08
TA-20273,2013-09-01,399.9
TA-20272,2013-09-01,399.51
TA-01684,2013-07-05,398.96
TA-20275,2008-01-15,389.76
TA-16588,2014-01-03,387.51
TA-14374,2010-02-19,381.89
TA-20639,2013-10-01,380.05
TA-19513,2007-01-04,376.24
TA-03158,2009-01-20,363.48
TA-18536,2013-06-26,363.38
TA-11206,2012-09-19,362.59
TA-20800,2007-09-15,358.89
TA-20619,2013-10-01,358.51
TA-10467,2013-05-14,356.3
TA-01619,2007-04-12,352.36
TA-14192,2011-08-01,348.17
TA-04614,2013-02-13,344.85
TA-14600,2011-08-01,340.41
TA-03229,2011-08-01,338.96
TA-00716,2011-06-01,338.84
TA-16886,2013-05-08,334.53
TA-08345,2011-08-01,332.79
TA-20477,2013-10-01,332.08
TA-20634,2013-07-08,329.98
TA-03346,2012-05-02,329.68
TA-00863,2011-11-23,322.8
TA-00455,2012-03-05,321.18
TA-03677,2007-10-26,319.13
TA-13600,2010-10-26,310.97
TA-18711,2010-03-22,304.06
TA-01899,2012-03-15,302.19
TA-01413,2009-11-06,302.04
TA-19143,2013-09-01,300.24
TA-18537,2013-07-03,299.86
TA-20029,2013-10-01,297.39
TA-20030,2013-10-01,297.3
TA-13645,2012-04-18,296.85
TA-11217,2013-06-27,296.33
TA-04641,2012-07-03,295.09
TA-20274,2007-09-01,294.75
TA-11307,2009-12-02,291.8
TA-20053,2013-03-19,289.87
TA-00105,2012-01-26,289.36
TA-05475,2001-09-28,286.69
TA-20442,2007-10-15,282.91
TA-09924,2008-03-01,282.38
TA-07209,2013-10-24,278.63
TA-17822,2013-08-28,277.95
TA-03665,2005-11-03,274.94
TA-10300,2008-03-01,274.55
TA-18779,2011-08-01,270.35
TA-06597,2014-04-24,266.87
